Site No,Site Name,Street Address,"City, State Zip",County,Enf. Issue,Resolved Date,Violation(SNC) Date
18954,Mattawoman WWTP,5310 Hawthorne Road,"La Plata,MD,20646",Charles,,,
19004,CSX Transportation Inc,"1910 Benhill Ave, 1915 Benhill Ave","Baltimore City,MD,21226",Baltimore City,Environmental/Health Impact,04/04/2019,11/28/2018
19069,Cecil County Central Landfill,758 E old Philadelphia Rd,"Elkton,MD,21921",Cecil,Environmental/Health Impact,03/11/2013,10/30/2009
19072,La Plata WWTP,6505 Curley Hall Road,"La Plata,MD,20646",Charles,Environmental/Health Impact,03/07/2017,03/14/2016
19072,La Plata WWTP,6505 Curley Hall Road,"La Plata,MD,20646",Charles,Environmental/Health Impact,10/21/2011,05/09/2006
19080,Winters Apartments WWTP,Rte 5 at Winters Lane,"Leonardtown,MD,20650",St. Mary's,Environmental/Health Impact,12/16/2016,03/01/2011
19200,Sandy Hill Camp & Conference and Activity Center,3380 Turkey Point road,"North East,MD,21901",Cecil,Environmental/Health Impact,06/15/2016,04/08/2016
19204,Queen City Metals & Recycling,220 W. King St,"Cumberland,MD,21502",Allegany,,03/09/2020,12/09/2010
19206,Daniel G. Schuster Concrete/Hagerstown Ready Mix Concrete Plant,1000 Sherman Avenue,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,11/30/2018,06/11/2018
19215,Northern High School WWTP,7881 Flint Hill Rd,"Owings,MD,20736",Calvert,Environmental/Health Impact,09/12/2016,10/02/2013
19253,Annapolis Bus Company/Towne Transport,2404 Nichols Road,"Annapolis,MD,21401",Anne Arundel,,,02/05/2018
19262,"Daniel G. Schuster, Inc. - Frederick Plant",530 E South St,"Frederick,MD,21701",Frederick,Environmental/Health Impact,11/30/2018,06/11/2018
19332,Denton WWTP,650 Legion Rd,"Denton,MD,21629",Caroline,,01/17/2012,04/01/2009
19367,Deep Creek Lake WWTP,762 Mayhew Inn Road,"Oakland,MD,21550",Garrett,Environmental/Health Impact,,06/21/2016
19370,Triumph Industial Park WWTP,505 Blue Ball Road,"Elkton,MD,21921",Cecil,Environmental/Health Impact,,01/28/2015
19407,Town of Bel Air - DPW,705 E Churchville Rd,"Bel Air,MD,21014",Harford,Environmental/Health Impact,11/28/2012,12/20/2011
19444,Glen Arm Maintenance Facility WWTP & WTP,12200 Long Green Pike,"Glen Arm,MD,21057",Baltimore,Environmental/Health Impact,,04/28/2020
19481,Woodsboro WWTP,SE OF WOODSBORO PIKE & WOODSBORO ROAD,"Woodsboro,MD,21798",Frederick,Environmental/Health Impact,04/21/2016,01/27/2015
19481,Woodsboro WWTP,SE OF WOODSBORO PIKE & WOODSBORO ROAD,"Woodsboro,MD,21798",Frederick,Environmental/Health Impact,10/31/2011,04/11/2011
19497,Crisfield WWTP,104 7th Street,"Crisfield,MD,21817",Somerset,Environmental/Health Impact,03/01/2016,09/01/2015
19497,Crisfield WWTP,104 7th Street,"Crisfield,MD,21817",Somerset,Environmental/Health Impact,09/09/2019,08/12/2015
19497,Crisfield WWTP,104 7th Street,"Crisfield,MD,21817",Somerset,Environmental/Health Impact,,
19542,Waste Management of Maryland - Pocomoke,805 Ocean Highway,"Pocomoke City,MD,21851",Worcester,,05/30/2018,04/09/2014
19594,Hurlock WWTP,6215 Jones Village Rd,"Hurlock,MD,21643",Dorchester,,,02/13/2020
19594,Hurlock WWTP,6215 Jones Village Rd,"Hurlock,MD,21643",Dorchester,,02/21/2019,12/28/2018
19594,Hurlock WWTP,6215 Jones Village Rd,"Hurlock,MD,21643",Dorchester,Environmental/Health Impact,06/11/2014,03/27/2014
19714,Happy Hills Campground,12617 Seavolt Rd,"Hancock,MD,21750",Washington,,,03/02/2020
19716,Chesapeake Beach WWTP,8450 Bayside Rd,"Chesapeake Beach,MD,20732",Calvert,Environmental/Health Impact,12/31/2019,06/12/2019
19716,Chesapeake Beach WWTP,8450 Bayside Rd,"Chesapeake Beach,MD,20732",Calvert,,01/25/2013,07/20/2010
19722,"NVA Properties, LLC",13400 Edgemeade Rd,"Upper Marlboro,MD,20772",Prince George's,,03/17/2017,04/08/2013
19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Environmental/Health Impact,08/20/2018,04/01/2018
19730,Glenelg Country School,12793 Folly Quarter Rd,"Ellicott City,MD,21042",Howard,Environmental/Health Impact,04/28/2016,07/18/2013
19755,Rhode River Marina,3932 Germantown Rd,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,,03/20/2014
19755,Rhode River Marina,3932 Germantown Rd,"Edgewater,MD,21037",Anne Arundel,Environmental/Health Impact,09/09/2013,04/27/2010
19786,Colonel Richardson High School,25320 Richardson Rd,"Federalsburg,MD,21632",Caroline,Environmental/Health Impact,09/30/2014,09/29/2009
19786,Colonel Richardson High School,25320 Richardson Rd,"Federalsburg,MD,21632",Caroline,Environmental/Health Impact,09/30/2014,11/20/2008
19791,Hunter Hill WWTP,13301 Hunter Hill Dr,"Hagerstown,MD,21742",Washington,Environmental/Health Impact,,03/25/2015
19873,Pleasure Cove Marina,1701 Poplar Ridge Rd,"Pasadena,MD,21122",Anne Arundel,Environmental/Health Impact,12/18/2014,05/21/2008
19880,Kelly Foods Corporation,10313 OLD OCEAN CITY BLVD,"Berlin,MD,21811",Worcester,Environmental/Health Impact,08/09/2016,04/13/2016
19880,Kelly Foods Corporation,10313 OLD OCEAN CITY BLVD,"Berlin,MD,21811",Worcester,Environmental/Health Impact,07/27/2013,05/26/2010
19880,Kelly Foods Corporation,10313 OLD OCEAN CITY BLVD,"Berlin,MD,21811",Worcester,,,
19976,"Strongs Bay Seafood, Inc",1719-A Little Creek Rd,"Chester,MD,21619",Queen Anne's,Environmental/Health Impact,11/20/2012,01/19/2012
20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,,,02/07/2020
20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,,,02/05/2020
20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Environmental/Health Impact,07/01/2015,06/24/2015
20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Environmental/Health Impact,11/13/2014,09/18/2014
20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,Environmental/Health Impact,03/11/2014,07/24/2012
20024,Perryville WWTP,72 Ikea Way,"Perryville,MD,21903",Cecil,,,
20072,"Concrete General, Inc",8000 Beechcraft Avenue,"Gaithersburg,MD,20879",Montgomery,Environmental/Health Impact,08/16/2017,03/24/2017
20087,Emmitsburg WWTP,16707 Creamery Road,"Emmitsburg,MD,21727",Frederick,Environmental/Health Impact,,01/31/2020
20087,Emmitsburg WWTP,16707 Creamery Road,"Emmitsburg,MD,21727",Frederick,Environmental/Health Impact,04/21/2016,01/25/2015
20087,Emmitsburg WWTP,16707 Creamery Road,"Emmitsburg,MD,21727",Frederick,,04/02/2013,07/01/2012
20095,Mountain Christian Church,1824 Mountain Road,"Joppa,MD,21085",Harford,,,06/28/2019
20178,Schuster Concrete -Monument Street Plant,3625 E Monument Street,"Baltimore,MD,21205",Baltimore City,Environmental/Health Impact,11/30/2018,06/11/2018
20182,Poolesville WWTP,18901 Fisher Ave.,"Poolesville,MD,20837",Montgomery,Environmental/Health Impact,,11/30/2018
20182,Poolesville WWTP,18901 Fisher Ave.,"Poolesville,MD,20837",Montgomery,Environmental/Health Impact,01/21/2016,10/03/2012
20249,The Recycling Center,14852 Old Gunpowder Road,"Laurel,MD,20707",Prince George's,Environmental/Health Impact,12/31/2013,09/17/2013
20253,Calvert County Industrial Park WWTP,300 Skipjack Rd,"Prince Frederick,MD,20678",Calvert,Environmental/Health Impact,07/15/2014,05/07/2014
20253,Calvert County Industrial Park WWTP,300 Skipjack Rd,"Prince Frederick,MD,20678",Calvert,Environmental/Health Impact,07/15/2014,06/21/2011
20253,Calvert County Industrial Park WWTP,300 Skipjack Rd,"Prince Frederick,MD,20678",Calvert,,07/15/2014,03/15/2011
20293,"Maryland Concrete Septic Tank, Inc",21616 York Rd,"Maryland Line,MD,21105",Baltimore,Environmental/Health Impact,,03/18/2019
20304,"Rockville Fuel and Feed Co., Inc.",14901 Southlawn Lane,"Rockville,MD,20850",Montgomery,Environmental/Health Impact,03/07/2016,03/31/2015
20369,David Bramble @Campbell Soup Site,27030 Morgnec Road,"Chestertown,MD,21620",Kent,,04/13/2011,03/04/2011
20433,Baltimore Yacht Club,800 Baltimore Yacht Club Rd,"Essex,MD,21221",Baltimore,Environmental/Health Impact,,10/22/2009
20487,Spring Cove Marina,455 Lore Rd,"Solomons,MD,20688",Calvert,Environmental/Health Impact,06/30/2024,03/19/2014
20507,SO Sanitary District-Ewell WWTP,"3786 Smith Island Rd, Smith Island","Ewell,MD,21824",Somerset,,,10/06/2010
20507,SO Sanitary District-Ewell WWTP,"3786 Smith Island Rd, Smith Island","Ewell,MD,21824",Somerset,Environmental/Health Impact,07/01/2015,10/06/2010
20568,Princess Anne WWTP,30353 Linden Avenue,"Princess Anne,MD,21853",Somerset,Environmental/Health Impact,,06/25/2019
20568,Princess Anne WWTP,30353 Linden Avenue,"Princess Anne,MD,21853",Somerset,,04/03/2019,12/28/2018
20603,APG-Edgewood Area,Edgewood Area-Aberdeen Proving Ground,"Aberdeen Proving Ground,MD,21010",Harford,,09/25/2012,07/10/2010
20701,Perdue Inc,521 Willow St,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,,03/05/2020
20701,Perdue Inc,521 Willow St,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,04/12/2013,08/09/2012
20723,Camp Shadowbrook,46 Camp Shadowbrook Rd,"Conowingo,MD,21918",Cecil,,05/02/2013,01/24/2011
20735,The Nelson Company,2116 Sparrows Point Rd,"Edgemere,MD,21219-1798",Baltimore,Environmental/Health Impact,07/15/2015,01/21/2015
20744,Hanover Foods Corp,502 Factory Ave,"Ridgely,MD,21660",Caroline,Environmental/Health Impact,09/01/2011,09/09/2009
20765,Oakland WWTP,27 Oakland Rosedale Rd,"Oakland,MD,21550",Garrett,Environmental/Health Impact,10/24/2014,08/19/2014
20765,Oakland WWTP,27 Oakland Rosedale Rd,"Oakland,MD,21550",Garrett,Environmental/Health Impact,04/15/2015,09/27/2010
20824,Goose Creek Food Store,10137 Old Ocean City Blvd,"Berlin,MD,21811",Worcester,Environmental/Health Impact,09/12/2016,11/07/2013
20834,Freedom District WWTP,1301 Raincliff Rd.,"Sykesville,MD,21784",Carroll,,03/08/2021,06/01/2020
20937,Back Creek Boat Yard,13836 South Solomons Island Rd,"Solomons,MD,20688",Calvert,,,04/09/2019
21012,C & D Concrete - Salisbury,1000 Parsons Rd,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,12/09/2019,10/27/2016
21012,C & D Concrete - Salisbury,1000 Parsons Rd,"Salisbury,MD,21801",Wicomico,Environmental/Health Impact,09/19/2016,03/28/2011
21037,Ceco Utilities WWTP,91 Johnstown Road,"Elkton,MD,21921",Cecil,Environmental/Health Impact,05/02/2013,05/10/2011
21041,"Lawrence Street Industry, LLC",3310 Kenilworth Ave,"Hyattsville,MD,20781",Prince George's,Environmental/Health Impact,03/01/2019,06/22/2018
21045,Worton - Butlertown WWTP,25310 Chinquapin Rd,"Worton,MD,21678",Kent,Environmental/Health Impact,05/15/2013,10/06/2010
21077,"WPN Recycling Company, LLC",5101 Andard Avenue,"Curtis Bay,MD,21226",Baltimore City,Environmental/Health Impact,,12/14/2016
21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Environmental/Health Impact,,01/31/2020
21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Environmental/Health Impact,07/11/2018,02/09/2018
21119,Frederick City WWTP,100 Treatment Plant Road,"Frederick,MD,21701",Frederick,Environmental/Health Impact,03/24/2015,11/20/2014
21242,LKQ Pick Your Part (1207),2801 Hawkins Point Rd,"Baltimore City,MD,21226",Baltimore City,Environmental/Health Impact,,02/16/2018
21750,"Galesville Yacht Yard, Inc.",4805 Riverside Dr,"Galesville,MD,20765",Anne Arundel,Environmental/Health Impact,06/02/2015,11/20/2013
21777,Waterview Property,3100 Waterview Ave,"Baltimore,MD,21230",Baltimore City,Environmental/Health Impact,03/28/2013,10/01/2010
21825,Brunswick WWTP,"20 C&O Canal Tow Path Rd, E","Brunswick,MD,21716",Frederick,Environmental/Health Impact,10/21/2020,01/31/2020
21829,Millington WWTP,227 Sassafras St,"Millington,MD,21651",Queen Anne's,,,02/10/2020
21829,Millington WWTP,227 Sassafras St,"Millington,MD,21651",Queen Anne's,Environmental/Health Impact,08/06/2014,07/17/2014
21831,Boone's Mobile Estates WWTP,1091 Marlboro Rd,"Lothian,MD,20711",Anne Arundel,Environmental/Health Impact,11/15/2010,03/19/2009
21834,Leonardtown WWTP,22620 Van Wert lane,"Leonardtown,MD,20650",St. Mary's,Environmental/Health Impact,08/23/2019,06/01/2019
21834,Leonardtown WWTP,22620 Van Wert lane,"Leonardtown,MD,20650",St. Mary's,Environmental/Health Impact,04/24/2015,04/06/2015
21835,Delmar WWTP,30055 Connelly Mill Road,"Delmar,MD,21875",Wicomico,Environmental/Health Impact,,06/18/2018
21835,Delmar WWTP,30055 Connelly Mill Road,"Delmar,MD,21875",Wicomico,Environmental/Health Impact,10/30/2013,03/25/2013
21838,Woodlawn Mobile Home Estates WWTP,385 Camp Meeting Ground Rd,"Port Deposit,MD,21904",Cecil,,10/02/2015,03/17/2011
21839,New Windsor WWTP,Water St,"New Windsor,MD,21776",Carroll,Environmental/Health Impact,08/31/2020,01/24/2020
21839,New Windsor WWTP,Water St,"New Windsor,MD,21776",Carroll,Environmental/Health Impact,07/31/2015,07/01/2015
21841,Oxford WWTP,103 J. L. Thompson Dr,"Oxford,MD,21654",Talbot,Environmental/Health Impact,07/14/2011,07/09/2009
21842,I-70 East Rest Area,"I-70 East, Mile Marker 39","Myersville,MD,21773",Frederick,Environmental/Health Impact,,02/26/2020
21843,Swan Harbor Dell Mobile Home Park,40 Robin Hood Road,"Havre De Grace,MD,21078",Harford,,03/21/2014,06/08/2011
21850,Union Bridge WWTP,115 W Locust St,"Union Bridge,MD,21791",Carroll,Environmental/Health Impact,10/09/2014,08/19/2014
21857,Homestead Mobile Estates WWTP,27 Benjamin Park Dr,"Port Deposit,MD,21904",Cecil,Environmental/Health Impact,04/28/2017,02/27/2017
21857,Homestead Mobile Estates WWTP,27 Benjamin Park Dr,"Port Deposit,MD,21904",Cecil,Environmental/Health Impact,12/04/2014,10/16/2014
21858,Highland View Academy WWTP,10335 Academy Drive,"Hagerstown,MD,21740",Washington,Environmental/Health Impact,12/10/2014,07/08/2013
21865,Thunderbird Motel WWTP,11050 Crain Hwy,"Newburg,MD,20664",Charles,Environmental/Health Impact,,07/03/2018
21865,Thunderbird Motel WWTP,11050 Crain Hwy,"Newburg,MD,20664",Charles,Environmental/Health Impact,11/05/2013,02/28/2008
21866,Clear Spring WWTP,13081 Burnie Kinsell Dr,"Clear Spring,MD,21722",Washington,Environmental/Health Impact,11/13/2020,01/31/2020
21868,Old South Mountain Inn,6132 Old National Pike,"Boonsboro,MD,21713",Frederick,Environmental/Health Impact,03/21/2014,05/18/2006
21876,Swan Point WWTP,12100 Swan Point Rd,"Issue,MD,20664",Charles,Environmental/Health Impact,03/11/2014,03/16/2010
21877,Cedar Mobile Home Park WWTP,18240 Lepore Rd,"Marydel,MD,21649",Caroline,Environmental/Health Impact,,04/02/2019
21877,Cedar Mobile Home Park WWTP,18240 Lepore Rd,"Marydel,MD,21649",Caroline,Environmental/Health Impact,06/06/2012,03/08/2010
21878,Talbot County Region V WWTP,21345 Seth Ave,"Tilghman,MD,21671",Talbot,,04/17/2018,02/16/2009
21881,Susquehanna Water Filtration Plant,1507 Frenchtown Rd,"Perryville,MD,21903",Cecil,Environmental/Health Impact,05/21/2014,11/12/2013
21898,Talbot Trailer Park,9538 Black Dog Alley,"Easton,MD,21601",Talbot,Environmental/Health Impact,11/14/2012,03/04/2010
21901,North Carroll Shopping Plaza,2320 Hanover Pike,"Hampstead,MD,21074",Carroll,Environmental/Health Impact,02/07/2014,10/25/2005
21913,Baltimore City Water Supply System,Various locations,"Baltimore,MD,21202",Baltimore City,Environmental/Health Impact,,03/27/2018
22049,Allan Myers MD - Joppa,"2203 Old Mountain Rd Central, Old Mountain Rd at Chand Rd","Joppa,MD,21085",Harford,,05/12/2014,04/22/2009
22054,"Larry E. Knight, Inc.",12200 Owings Mills Blvd,"Glyndon,MD,21071",Baltimore,,,02/10/2017
22065,Daniel G. Schuster Inc.- Jessup,10782 Guilford Road,"Jessup,MD,20794",Howard,Environmental/Health Impact,11/30/2018,06/11/2018
22084,Green Opportunities Corporation,227 Oldtown Road,"Goldsboro,MD,21636",Caroline,Environmental/Health Impact,02/05/2013,10/02/2012
22091,General Electric,238 Belvidere Rd,"Perryville,MD,21903",Cecil,Environmental/Health Impact,04/04/2019,08/17/2015
22119,"Howlin Concrete, Inc. - Owings Batch Plant",1038 E Chesapeake Beach Rd,"Owings,MD,20736",Calvert,Environmental/Health Impact,06/12/2017,03/29/2016
22125,Chaney Enterprises - Seat Pleasant,45 Yost Place,"Seat Pleasant,MD,20785",Prince George's,Environmental/Health Impact,01/24/2020,07/02/2014
22127,Chaney Enterprises - Upper Marlboro,5200 Chrysler Drive,"Upper Marlboro,MD,20772",Prince George's,Environmental/Health Impact,09/23/2015,03/22/2010
22149,Dorchester Crab Company,2076 Wingate Bishops Head Rd,"Wingate,MD,21675",Dorchester,,02/19/2015,05/13/2013
22156,Three Ann's Seafood,1123 Keys Rd,"Fishing Creek,MD,21634",Dorchester,,12/13/2013,11/10/2008
22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Environmental/Health Impact,03/19/2019,10/02/2018
22169,Town of Galena WWTP,13265 Augustine Herman Hwy,"Galena,MD,21635",Kent,Environmental/Health Impact,10/16/2013,06/10/2013
22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,Environmental/Health Impact,04/19/2016,04/06/2016
22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,Environmental/Health Impact,07/22/2015,03/20/2015
22171,Chestertown WWTP,25792 John Hanson Rd,"Chestertown,MD,21620",Kent,,03/08/2016,09/05/2014
22172,Mount Airy WWTP,7245 Ridge Rd,"Mount Airy,MD,21771",Carroll,Environmental/Health Impact,11/12/2015,05/20/2015
22175,Marlay-Taylor Water Reclamation Facility,48020 Pine Hill Run Rd.,"Lexington Park,MD,20653",St. Mary's,Environmental/Health Impact,08/15/2018,04/19/2018
22175,Marlay-Taylor Water Reclamation Facility,48020 Pine Hill Run Rd.,"Lexington Park,MD,20653",St. Mary's,,12/01/2011,09/01/2010
22178,Relax Inn WWTP,9340 Crain Hwy,"Bel Alton,MD,20611",Charles,Environmental/Health Impact,10/14/2015,11/20/2008
22182,"Mountaire Farms, Inc. - Westover Feed Mill",30607 Revells Neck Rd,"Westover,MD,21871",Somerset,Environmental/Health Impact,06/27/2016,03/10/2016
22190,A & X Steel and Aluminum Co.,2825 Annapolis Rd,"Baltimore,MD,21230",Baltimore City,Environmental/Health Impact,09/12/2016,06/13/2008
22193,Riddle Farm WWTP,11401 Grays Corner Road,"Berlin,MD,21811",Worcester,Environmental/Health Impact,11/07/2017,08/02/2012
22199,Rocko Meats,12623 Catoctin Furnace Rd,"Thurmont,MD,21788",Frederick,Environmental/Health Impact,03/20/2017,06/27/2007
22208,Middletown East WWTP,7320 Holter Rd,"Middletown,MD,21769",Frederick,Environmental/Health Impact,,02/20/2020
22208,Middletown East WWTP,7320 Holter Rd,"Middletown,MD,21769",Frederick,Environmental/Health Impact,04/13/2017,12/15/2016
22236,Lions Camp Merrick,3650 Rick Hamilton Place,"Nanjemoy,MD,20662",Charles,,,05/29/2018
22262,Capri Condominium,11000 Coastal Hwy,"Ocean City,MD,21842",Worcester,Environmental/Health Impact,01/18/2013,05/17/2012
22310,Clearview Golf & Country Club,5650 Country Club Rd,"Cambridge,MD,21613",Dorchester,Environmental/Health Impact,06/18/2010,12/17/2009
22477,"Beachmont, Inc.",6433 Mount Vista Rd,"Kingsville,MD,21087",Baltimore,,07/23/2012,06/07/2012
22525,Wynnewood Recreation Center,5731 Oakland Rd,"Baltimore,MD,21227",Baltimore,,05/31/2018,07/29/2014
22881,Hunter's Oak Golf & Country Club,500 Amberly Farm Lane,"Queenstown,MD,21658",Queen Anne's,Environmental/Health Impact,02/26/2013,04/02/2009
22892,The Trustees of the Peninsula-Delaware Conference of the United Methodist Church,136 Bookers Wharf Road,"Centreville,MD,21617",Queen Anne's,,06/20/2019,05/11/2012
22894,Roland Park Swimming Pool,5021 Lawndale Ave,"Baltimore,MD,21210",Baltimore City,Environmental/Health Impact,,07/06/2018
22913,Castaways RV Resort and Campground,12550 Eagles Nest Rd,"Berlin,MD,21811",Worcester,Environmental/Health Impact,08/03/2012,06/18/2010
