"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"116",18549,"City of Bowie WWTP","16550 Annapolis Rd","Bowie,MD,20715","Prince George's","Settlement Agreement","SAP-13-1742","08/17/2012","09/14/2014","Notice of Intent;Sediment","Notice of Intent (Construction)",38.9943558348854,-76.7214761192212
"117",18549,"City of Bowie WWTP","16550 Annapolis Rd","Bowie,MD,20715","Prince George's","Penalty Settlement","PS-17-2421","09/12/2016","10/12/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",38.9943558348854,-76.7214761192212
"118",18646,"Campus Hills Shopping Center","2300-2400 Churchville Rd","Churchville,MD,21015","Harford","Consent Order","CO-08-0717","04/25/2008","01/01/2019","Groundwater Discharge Permit","Municipal Minor",39.5588018281441,-76.245459855381
"119",18646,"Campus Hills Shopping Center","2300-2400 Churchville Rd","Churchville,MD,21015","Harford","Stipulated Penalty","SP-14-2101","07/07/2014","08/07/2014","Groundwater Discharge Permit","Municipal Minor",39.5588018281441,-76.245459855381
"120",18734,"Ocean City WWTP","6405 Seabay Drive","Ocean City,MD,21842","Worcester","Penalty Settlement","PS-15-2165","11/13/2014","12/12/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3872337080465,-75.068526969088
"121",18734,"Ocean City WWTP","6405 Seabay Drive","Ocean City,MD,21842","Worcester","Penalty Settlement","PS-17-2454","04/13/2017","05/12/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.3872337080465,-75.068526969088
"122",18826,"Pocomoke City WWTP","1634 Dunn Swamp Road","Pocomoke City,MD,21851","Worcester","Penalty Settlement","PS-15-2164","10/09/2014","10/21/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.0471579860491,-75.5655000248015
"123",18826,"Pocomoke City WWTP","1634 Dunn Swamp Road","Pocomoke City,MD,21851","Worcester","Penalty Settlement","PS-17-2466","05/09/2017","06/21/2017","Surface Water Discharge Unauthorized","Collection System (SSO)",38.0471579860491,-75.5655000248015
"124",18826,"Pocomoke City WWTP","1634 Dunn Swamp Road","Pocomoke City,MD,21851","Worcester","Settlement Agreement","SA-19-2551","09/19/2018","01/22/2021","Non-Tidal Wetlands;Sediment;Surface Water Discharge Permit",NA,38.0471579860491,-75.5655000248015
"125",18838,"Hebron WWTP","26126 Rewastico Rd","Hebron,MD,21830","Wicomico","Default Judgement & Show Cause Order","AP-10-1045","04/26/2011","04/26/2011","Surface Water Discharge Permit","Municipal Minor",38.4187200002937,-75.7073400151525
"126",18883,"Joppatowne WWTP","101 Shore Dr","Joppa,MD,21085","Harford","Consent Order","CO-12-1670","06/05/2012","01/05/2016","Surface Water Discharge Permit","Municipal Minor",39.4109830792967,-76.3657847536046
"127",19069,"Cecil County Central Landfill","758 E old Philadelphia Rd","Elkton,MD,21921","Cecil","Consent Order","CO-13-1868","03/11/2013","07/30/2014","Sediment",NA,39.5971720011332,-75.911350006019
"128",19072,"La Plata WWTP","6505 Curley Hall Road","La Plata,MD,20646","Charles","Penalty Settlement",NA,"10/21/2011","04/01/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",38.528346767954,-76.9857037409108
"129",19080,"Winters Apartments WWTP","Rte 5 at Winters Lane","Leonardtown,MD,20650","St. Mary's",NA,NA,NA,"03/05/2020","Not Assigned",NA,38.2416800402087,-76.5612099396612
"130",19080,"Winters Apartments WWTP","Rte 5 at Winters Lane","Leonardtown,MD,20650","St. Mary's","Complaint, Order, Penalty","AOP-17-2427","12/20/2016",NA,"Surface Water Discharge Permit","Municipal Minor",38.2416800402087,-76.5612099396612
"131",19206,"Daniel G. Schuster Concrete/Hagerstown Ready Mix Concrete Plant","1000 Sherman Avenue","Hagerstown,MD,21740","Washington","Settlement Agreement","SA-19-2565","12/14/2018","12/26/2018","Surface Water Discharge Permit","Industrial Minor",39.6290800203415,-77.7392900347592
"132",19262,"Daniel G. Schuster, Inc. - Frederick Plant","530 E South St","Frederick,MD,21701","Frederick","Settlement Agreement","SA-19-2565","12/14/2018","12/26/2018","Surface Water Discharge Permit","Industrial Minor",39.4084369804386,-77.3998770197449
"133",19332,"Denton WWTP","650 Legion Rd","Denton,MD,21629","Caroline","Consent Order","CO-12-1564","01/17/2012","02/07/2012","Surface Water Discharge Permit","Municipal Minor",38.87303201875,-75.8162220268616
"134",19481,"Woodsboro WWTP","SE OF WOODSBORO PIKE & WOODSBORO ROAD","Woodsboro,MD,21798","Frederick","Penalty Settlement","PS-12-1496","10/31/2011","09/24/2013","Surface Water Discharge Permit","Municipal Minor",39.5325900241045,-77.311419946057
"135",19497,"Crisfield WWTP","104 7th Street","Crisfield,MD,21817","Somerset","Penalty Settlement","PS-16-2371","03/01/2016","03/23/2016","Surface Water Discharge Unauthorized","Collection System (SSO)",37.9822600108595,-75.8593999758959
"136",19497,"Crisfield WWTP","104 7th Street","Crisfield,MD,21817","Somerset","Penalty Settlement","PS-20-2616","09/23/2019","10/11/2019","Surface Water Discharge Unauthorized","Collection System (SSO)",37.9822600108595,-75.8593999758959
"137",19664,"Thurmont WWTP","96 E Moser Rd","Thurmont,MD,21788","Frederick","Consent Order",NA,"05/21/2012","08/04/2015","Surface Water Discharge Permit",NA,39.609353001771,-77.4112629970878
"138",19714,"Happy Hills Campground","12617 Seavolt Rd","Hancock,MD,21750","Washington","Consent Order","COP-12-1428","08/05/2011","09/13/2016","Surface Water Discharge Permit",NA,39.6569081679686,-78.2479543557733
"139",19716,"Chesapeake Beach WWTP","8450 Bayside Rd","Chesapeake Beach,MD,20732","Calvert","Consent Order","CO-13-1837","01/25/2013",NA,"Surface Water Discharge Permit","Municipal Major",38.6991276856691,-76.5342010333271
"140",19730,"Glenelg Country School","12793 Folly Quarter Rd","Ellicott City,MD,21042","Howard","Consent Order","CO-16-2394","04/28/2016","11/06/2019","Groundwater Discharge Permit","Municipal Minor",39.2517559923505,-76.9618000356293
"141",19730,"Glenelg Country School","12793 Folly Quarter Rd","Ellicott City,MD,21042","Howard","Complaint & Order","AOP-18-2530","05/14/2018","06/04/2018","Groundwater Discharge Permit","Municipal Minor",39.2517559923505,-76.9618000356293
"142",19730,"Glenelg Country School","12793 Folly Quarter Rd","Ellicott City,MD,21042","Howard","Amended Consent Order","SA-18-2536","06/04/2018","11/06/2019","Groundwater Discharge Permit","Municipal Minor",39.2517559923505,-76.9618000356293
"143",19730,"Glenelg Country School","12793 Folly Quarter Rd","Ellicott City,MD,21042","Howard","Stipulated Penalty","SP-19-2544","08/20/2018","11/28/2018","Groundwater Discharge Permit",NA,39.2517559923505,-76.9618000356293
"144",19755,"Rhode River Marina","3932 Germantown Rd","Edgewater,MD,21037","Anne Arundel",NA,NA,NA,NA,"Not Assigned",NA,38.8922119928319,-76.5250309635331
"145",19786,"Colonel Richardson High School","25320 Richardson Rd","Federalsburg,MD,21632","Caroline","Settlement Agreement","SAP-15-2154","09/30/2014","10/21/2014","Surface Water Discharge Permit",NA,38.7548009998137,-75.8283769602911
"146",19873,"Pleasure Cove Marina","1701 Poplar Ridge Rd","Pasadena,MD,21122","Anne Arundel","Settlement Agreement","SA-15-2197","12/18/2014","01/14/2015","Surface Water Discharge Permit;Tidal Wetlands","Industrial Stormwater",39.1275830005868,-76.4734759720478
"147",19976,"Strongs Bay Seafood, Inc","1719-A Little Creek Rd","Chester,MD,21619","Queen Anne's","Penalty Settlement","PS-13-1790","11/20/2012","09/11/2014","Surface Water Discharge Permit;Surface Water Discharge Unauthorized",NA,38.9387300048075,-76.282823968982
"148",20024,"Perryville WWTP","72 Ikea Way","Perryville,MD,21903","Cecil","Penalty Settlement","PS-14-2023","11/06/2013","03/11/2014","Surface Water Discharge Permit","Municipal Major",39.5622383574158,-76.0647391922102
"149",20024,"Perryville WWTP","72 Ikea Way","Perryville,MD,21903","Cecil","Settlement Agreement","SA-14-2070","03/11/2014","04/09/2014","Surface Water Discharge Permit","Municipal Major",39.5622383574158,-76.0647391922102
"150",20024,"Perryville WWTP","72 Ikea Way","Perryville,MD,21903","Cecil","Penalty Settlement","SA-14-2070","11/13/2014","12/01/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.5622383574158,-76.0647391922102
"151",20072,"Concrete General, Inc","8000 Beechcraft Avenue","Gaithersburg,MD,20879","Montgomery","Consent Order","SAP-18-2486","08/30/2017",NA,"Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Industrial Minor",39.164442000768,-77.1646750329821
"152",20087,"Emmitsburg WWTP","16707 Creamery Road","Emmitsburg,MD,21727","Frederick","Consent Order","CO-13-1853","04/02/2013","03/07/2016","Surface Water Discharge Permit",NA,39.6969389869305,-77.3097849718157
"153",20178,"Schuster Concrete -Monument Street Plant","3625 E Monument Street","Baltimore,MD,21205","Baltimore City","Settlement Agreement","SA-19-2565","12/14/2018","12/26/2018","Surface Water Discharge Permit","Industrial Minor",39.2987399964914,-76.5674480035892
"154",20249,"The Recycling Center","14852 Old Gunpowder Road","Laurel,MD,20707","Prince George's","Penalty Settlement","PS-14-2038","12/11/2013","12/31/2013","Sediment;Surface Water Discharge Permit","Industrial Minor",39.0943736063118,-76.9135291581603
"155",20253,"Calvert County Industrial Park WWTP","300 Skipjack Rd","Prince Frederick,MD,20678","Calvert","Settlement Agreement","SAP-14-2100","07/15/2014","07/11/2014","Surface Water Discharge Permit","Municipal Minor",38.5140980120581,-76.6413000302327
"156",20304,"Rockville Fuel and Feed Co., Inc.","14901 Southlawn Lane","Rockville,MD,20850","Montgomery","Penalty Settlement","SAP-16-2376","03/07/2016","03/17/2016","Surface Water Discharge Permit","Industrial Minor",39.09970898124,-77.1349949654894
"157",20487,"Spring Cove Marina","455 Lore Rd","Solomons,MD,20688","Calvert","Penalty Settlement","PS-14-2102","06/30/2014","07/17/2014","Tidal Wetlands",NA,38.3350609794878,-76.4625609742218
"158",20603,"APG-Edgewood Area","Edgewood Area-Aberdeen Proving Ground","Aberdeen Proving Ground,MD,21010","Harford","Consent Order","CWA-3-2012-0114FF","09/25/2012","09/15/2017","Surface Water Discharge Permit","Municipal Minor",39.4138300000358,-76.29362000022
"159",20603,"APG-Edgewood Area","Edgewood Area-Aberdeen Proving Ground","Aberdeen Proving Ground,MD,21010","Harford",NA,NA,NA,NA,"Surface Water Discharge Permit","Municipal Minor",39.4138300000358,-76.29362000022
"160",20626,"Northeast River Advanced WWTP","123 Carpenters Point Road","Charlestown,MD,21914","Cecil","Consent Order","CO-13-1914","05/01/2013","08/01/2017","Surface Water Discharge Permit","Municipal Major",39.5691829824577,-75.987539997004
"161",20701,"Perdue Inc","521 Willow St","Salisbury,MD,21801","Wicomico","Penalty Settlement","PS-13-1902","04/12/2013","09/11/2014","Surface Water Discharge Unauthorized","Industrial Minor",38.3659524219712,-75.6052503081388
"162",20744,"Hanover Foods Corp","502 Factory Ave","Ridgely,MD,21660","Caroline","Penalty Settlement","SAP-12-1439","09/12/2011","09/26/2011","Stormwater Management",NA,38.9441702260116,-75.8920915259027
"163",20765,"Oakland WWTP","27 Oakland Rosedale Rd","Oakland,MD,21550","Garrett","Penalty Settlement","PS-15-2168","10/24/2014","10/24/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.4146200173989,-79.4176880265985
"164",20834,"Freedom District WWTP","1301 Raincliff Rd.","Sykesville,MD,21784","Carroll","Consent Order","CO-12-1512","11/09/2011","12/18/2019","Surface Water Discharge Permit",NA,39.3620509839123,-76.9466499968717
"165",20908,"Conococheague WWTP","16232 Elliott Pkwy","Williamsport,MD,21795","Washington","Consent Order","CO-12-1552","12/28/2011",NA,"Surface Water Discharge Permit","Municipal Major",39.621350020234,-77.8049400341252
"166",21037,"Ceco Utilities WWTP","91 Johnstown Road","Elkton,MD,21921","Cecil","Amended Complaint & Penalty","CO-14-1983","12/07/2012","05/02/2013","Surface Water Discharge Permit","Municipal Minor",39.6517379815972,-75.8450100088867
"167",21037,"Ceco Utilities WWTP","91 Johnstown Road","Elkton,MD,21921","Cecil","Amended Complaint & Order","CO-14-1983","11/30/2012","05/02/2013","Surface Water Discharge Permit","Municipal Minor",39.6517379815972,-75.8450100088867
"168",21037,"Ceco Utilities WWTP","91 Johnstown Road","Elkton,MD,21921","Cecil","Consent Order","CO-14-1983","05/02/2013",NA,"Surface Water Discharge Permit","Municipal Minor",39.6517379815972,-75.8450100088867
"169",21041,"Lawrence Street Industry, LLC","3310 Kenilworth Ave","Hyattsville,MD,20781","Prince George's","Penalty Settlement","PS-19-2582","03/18/2019","06/06/2019","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Industrial Stormwater",38.9298539883415,-76.933751002367
"170",21045,"Worton - Butlertown WWTP","25310 Chinquapin Rd","Worton,MD,21678","Kent","Penalty Settlement","PS-13-1928","05/15/2013","07/15/2013","Groundwater Discharge Permit;Surface Water Discharge Permit","Municipal Minor",39.2623982688282,-76.0943439808821
"171",21119,"Frederick City WWTP","100 Treatment Plant Road","Frederick,MD,21701","Frederick","Consent Order","CO-12-1402","07/19/2011","09/01/2020","Surface Water Discharge Permit",NA,39.4260609798253,-77.382464034955
"172",21119,"Frederick City WWTP","100 Treatment Plant Road","Frederick,MD,21701","Frederick","Penalty Settlement","PS-15-2241","03/24/2015","03/24/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.4260609798253,-77.382464034955
"173",21119,"Frederick City WWTP","100 Treatment Plant Road","Frederick,MD,21701","Frederick","Stipulated Penalty","SP-19-2540","07/11/2018","08/10/2018","Surface Water Discharge Permit","Municipal Major",39.4260609798253,-77.382464034955
"174",21119,"Frederick City WWTP","100 Treatment Plant Road","Frederick,MD,21701","Frederick",NA,NA,"06/06/2019","04/20/2020","Not Assigned",NA,39.4260609798253,-77.382464034955
"175",21566,"Constellation Power Source Generation, LLC","2641 Brickhead Rd","Gambrills,MD,21054","Anne Arundel","Consent Decree",NA,"10/01/2007",NA,"Groundwater Discharge Unauthorized",NA,39.0427150150529,-76.6926859578832
"176",21790,"Beechwood Coal, LLC- Klondike Mine","Hersick Road & Klondike Rd, 2 Miles West of Woodland","Midlothian,MD,21543","Garrett",NA,NA,NA,NA,"Not Assigned",NA,39.6346999368549,-78.9537138516185
"177",21818,"G & S Coal Company - Pee Wee Hill Mine","Pee Wee Hill Rd, 1.3 Miles Ne Of Kitzmiller","Kitzmiller,MD,21538","Garrett",NA,NA,NA,NA,"Not Assigned",NA,39.3895300001,-79.1867227004298
"178",21819,"G & S Coal - Wildman Mine","4 Miles NE of Swanton off Rte 135, 15500 Block Maryland Hwy","Swanton,MD,21561","Garrett",NA,NA,NA,NA,"Not Assigned",NA,39.4789908766833,-79.1607277243535
"179",21825,"Brunswick WWTP","20 C&O Canal Tow Path Rd, E","Brunswick,MD,21716","Frederick",NA,"PS-21-2673","10/21/2020","11/03/2020","Surface Water Discharge Unauthorized;Surface Water Discharge Unauthorized","Collection System (SSO)",39.3086609844043,-77.6206850159443
"180",21829,"Millington WWTP","227 Sassafras St","Millington,MD,21651","Queen Anne's","Penalty Settlement","PS-15-2124","08/06/2014","09/05/2014","Surface Water Discharge Unauthorized","Collection System (SSO)",39.2565149856254,-75.8404080088564
"181",21831,"Boone's Mobile Estates WWTP","1091 Marlboro Rd","Lothian,MD,20711","Anne Arundel","Settlement Agreement",NA,"11/15/2010","05/29/2012","Surface Water Discharge Permit","Municipal Minor",38.8115189919393,-76.6808350368037
"182",21831,"Boone's Mobile Estates WWTP","1091 Marlboro Rd","Lothian,MD,20711","Anne Arundel","Settlement Agreement","SAP-11-1230","11/15/2010","11/15/2010","Surface Water Discharge Permit","Municipal Minor",38.8115189919393,-76.6808350368037
"183",21834,"Leonardtown WWTP","22620 Van Wert lane","Leonardtown,MD,20650","St. Mary's","Consent Order","CO-15-2206","04/24/2015","09/18/2019","Surface Water Discharge Permit","Municipal Minor",38.2893869828158,-76.6317849777252
"184",21834,"Leonardtown WWTP","22620 Van Wert lane","Leonardtown,MD,20650","St. Mary's","Stipulated Penalty","SP-20-2605","08/23/2019","09/18/2019","Surface Water Discharge Permit","Municipal Major",38.2893869828158,-76.6317849777252
"185",21835,"Delmar WWTP","30055 Connelly Mill Road","Delmar,MD,21875","Wicomico","Settlement Agreement","CA-14-2019","10/30/2013","10/30/2013","Surface Water Discharge Permit","Municipal Minor",38.4271519853584,-75.5697580311634
"186",21839,"New Windsor WWTP","Water St","New Windsor,MD,21776","Carroll","Penalty Settlement","PS-16-2292","07/31/2015","08/27/2015","Surface Water Discharge Unauthorized","Collection System (SSO)",39.5438286429179,-77.1101769261657
"187",21839,"New Windsor WWTP","Water St","New Windsor,MD,21776","Carroll",NA,"PS-20-2658","08/31/2020","09/08/2020","Surface Water Discharge Unauthorized","Collection System (SSO)",39.5438286429179,-77.1101769261657
"188",21841,"Oxford WWTP","103 J. L. Thompson Dr","Oxford,MD,21654","Talbot","Consent Order","CA-17-2413","08/03/2016",NA,"Surface Water Discharge Permit","Municipal Minor",38.6811076967478,-76.1691381983248
"189",21842,"I-70 East Rest Area","I-70 East, Mile Marker 39","Myersville,MD,21773","Frederick",NA,"PS-21-2661","09/16/2020","11/10/2020","Surface Water Discharge Permit;Surface Water Discharge Unauthorized","Municipal Minor",39.5256799832876,-77.602840027741
